library,nbAssert,assertType
json-simple,128,EQUIVALENT
json-simple,6,ERROR_HANDLING
json-simple,19,NOT_COVERED_FEATURE
json-simple,44,ORIGINAL
json,6,CAST
json,42,EQUIVALENT
json,82,ERROR_HANDLING
json,539,NON_COVERED_FEATURE
json,400,ORIGINAL
json,18,PLACEBO
json,10,SILENT
gson,7,EQUIVALENT
gson,2,ERROR_HANDLING
gson,355,ORIGINAL
gson,1853,PLACEBO
jackson-databind,94,EQUIVALENT
jackson-databind,3,ERROR_HANDLING
jackson-databind,8,ORDER
jackson-databind,795,ORIGINAL
jackson-databind,7821,PLACEBO
